"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","1962",5.696613,
"OECD","QGDP","TOT","PC_CHGPP","A","1963",5.176524,
"OECD","QGDP","TOT","PC_CHGPP","A","1964",6.361666,
"OECD","QGDP","TOT","PC_CHGPP","A","1965",5.363954,
"OECD","QGDP","TOT","PC_CHGPP","A","1966",5.734035,
"OECD","QGDP","TOT","PC_CHGPP","A","1967",3.943457,
"OECD","QGDP","TOT","PC_CHGPP","A","1968",5.905864,
"OECD","QGDP","TOT","PC_CHGPP","A","1969",5.562464,
"OECD","QGDP","TOT","PC_CHGPP","A","1970",3.9179,
"OECD","QGDP","TOT","PC_CHGPP","A","1971",3.697289,
"OECD","QGDP","TOT","PC_CHGPP","A","1972",5.468643,
"OECD","QGDP","TOT","PC_CHGPP","A","1973",6.107418,
"OECD","QGDP","TOT","PC_CHGPP","A","1974",1.066069,
"OECD","QGDP","TOT","PC_CHGPP","A","1975",0.458071,
"OECD","QGDP","TOT","PC_CHGPP","A","1976",4.913987,
"OECD","QGDP","TOT","PC_CHGPP","A","1977",3.681464,
"OECD","QGDP","TOT","PC_CHGPP","A","1978",4.425104,
"OECD","QGDP","TOT","PC_CHGPP","A","1979",3.898579,
"OECD","QGDP","TOT","PC_CHGPP","A","1980",1.279567,
"OECD","QGDP","TOT","PC_CHGPP","A","1981",2.262645,
"OECD","QGDP","TOT","PC_CHGPP","A","1982",0.197985,
"OECD","QGDP","TOT","PC_CHGPP","A","1983",2.831866,
"OECD","QGDP","TOT","PC_CHGPP","A","1984",4.782838,
"OECD","QGDP","TOT","PC_CHGPP","A","1985",3.852745,
"OECD","QGDP","TOT","PC_CHGPP","A","1986",2.896517,
"OECD","QGDP","TOT","PC_CHGPP","A","1987",3.604278,
"OECD","QGDP","TOT","PC_CHGPP","A","1988",4.597727,
"OECD","QGDP","TOT","PC_CHGPP","A","1989",3.866913,
"OECD","QGDP","TOT","PC_CHGPP","A","1990",3.217743,
"OECD","QGDP","TOT","PC_CHGPP","A","1991",1.457739,
"OECD","QGDP","TOT","PC_CHGPP","A","1992",2.269169,
"OECD","QGDP","TOT","PC_CHGPP","A","1993",1.501517,
"OECD","QGDP","TOT","PC_CHGPP","A","1994",3.037555,
"OECD","QGDP","TOT","PC_CHGPP","A","1995",2.554978,
"OECD","QGDP","TOT","PC_CHGPP","A","1996",3.183764,
"OECD","QGDP","TOT","PC_CHGPP","A","1997",3.620087,
"OECD","QGDP","TOT","PC_CHGPP","A","1998",2.945553,
"OECD","QGDP","TOT","PC_CHGPP","A","1999",3.37736,
"OECD","QGDP","TOT","PC_CHGPP","A","2000",4.128256,
"OECD","QGDP","TOT","PC_CHGPP","A","2001",1.399854,
"OECD","QGDP","TOT","PC_CHGPP","A","2002",1.67051,
"OECD","QGDP","TOT","PC_CHGPP","A","2003",2.090444,
"OECD","QGDP","TOT","PC_CHGPP","A","2004",3.321316,
"OECD","QGDP","TOT","PC_CHGPP","A","2005",2.891204,
"OECD","QGDP","TOT","PC_CHGPP","A","2006",3.171405,
"OECD","QGDP","TOT","PC_CHGPP","A","2007",2.650645,
"OECD","QGDP","TOT","PC_CHGPP","A","2008",0.331173,
"OECD","QGDP","TOT","PC_CHGPP","A","2009",-3.401836,
"OECD","QGDP","TOT","PC_CHGPP","A","2010",3.036711,
"OECD","QGDP","TOT","PC_CHGPP","A","2011",2.033985,
"OECD","QGDP","TOT","PC_CHGPP","A","2012",1.355119,
"OECD","QGDP","TOT","PC_CHGPP","A","2013",1.562108,
"OECD","QGDP","TOT","PC_CHGPP","A","2014",2.174481,
"OECD","QGDP","TOT","PC_CHGPP","A","2015",2.574521,
"OECD","QGDP","TOT","PC_CHGPP","A","2016",1.860246,
"OECD","QGDP","TOT","PC_CHGPP","A","2017",2.649824,
"OECD","QGDP","TOT","PC_CHGPP","A","2018",2.330355,
"EST","QGDP","TOT","PC_CHGPP","A","1996",4.935971,
"EST","QGDP","TOT","PC_CHGPP","A","1997",13.046536,
"EST","QGDP","TOT","PC_CHGPP","A","1998",4.330296,
"EST","QGDP","TOT","PC_CHGPP","A","1999",-0.403435,
"EST","QGDP","TOT","PC_CHGPP","A","2000",10.106519,
"EST","QGDP","TOT","PC_CHGPP","A","2001",5.970261,
"EST","QGDP","TOT","PC_CHGPP","A","2002",6.802392,
"EST","QGDP","TOT","PC_CHGPP","A","2003",7.566691,
"EST","QGDP","TOT","PC_CHGPP","A","2004",6.767457,
"EST","QGDP","TOT","PC_CHGPP","A","2005",9.490297,
"EST","QGDP","TOT","PC_CHGPP","A","2006",9.718758,
"EST","QGDP","TOT","PC_CHGPP","A","2007",7.573581,
"EST","QGDP","TOT","PC_CHGPP","A","2008",-5.088943,
"EST","QGDP","TOT","PC_CHGPP","A","2009",-14.433868,
"EST","QGDP","TOT","PC_CHGPP","A","2010",2.706903,
"EST","QGDP","TOT","PC_CHGPP","A","2011",7.441584,
"EST","QGDP","TOT","PC_CHGPP","A","2012",3.110235,
"EST","QGDP","TOT","PC_CHGPP","A","2013",1.346188,
"EST","QGDP","TOT","PC_CHGPP","A","2014",2.987326,
"EST","QGDP","TOT","PC_CHGPP","A","2015",1.844885,
"EST","QGDP","TOT","PC_CHGPP","A","2016",2.631568,
"EST","QGDP","TOT","PC_CHGPP","A","2017",5.748802,
"EST","QGDP","TOT","PC_CHGPP","A","2018",4.761159,
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q1",7.45029,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q2",5.002099,"E"
"DEU","QGDP","TOT","PC_CHGPY","Q","1961-Q3",3.57695,"E"
