"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","M3","TOT","IDX2015","A","1961",0.4153179,
"AUS","M3","TOT","IDX2015","A","1962",0.4458412,
"AUS","M3","TOT","IDX2015","A","1963",0.4845551,
"AUS","M3","TOT","IDX2015","A","1964",0.5418519,
"AUS","M3","TOT","IDX2015","A","1965",0.5850113,
"AUS","M3","TOT","IDX2015","A","1966",0.6215328,
"AUS","M3","TOT","IDX2015","A","1967",0.6724321,
"AUS","M3","TOT","IDX2015","A","1968",0.7254329,
"AUS","M3","TOT","IDX2015","A","1969",0.7912752,
"AUS","M3","TOT","IDX2015","A","1970",0.8417076,
"AUS","M3","TOT","IDX2015","A","1971",0.9003119,
"AUS","M3","TOT","IDX2015","A","1972",1.013551,
"AUS","M3","TOT","IDX2015","A","1973",1.251471,
"AUS","M3","TOT","IDX2015","A","1974",1.407671,
"AUS","M3","TOT","IDX2015","A","1975",1.63415,
"AUS","M3","TOT","IDX2015","A","1976",1.978305,
"AUS","M3","TOT","IDX2015","A","1977",2.387601,
"AUS","M3","TOT","IDX2015","A","1978",2.633459,
"AUS","M3","TOT","IDX2015","A","1979",2.97738,
"AUS","M3","TOT","IDX2015","A","1980",3.388311,
"AUS","M3","TOT","IDX2015","A","1981",3.815119,
"AUS","M3","TOT","IDX2015","A","1982",4.244261,
"AUS","M3","TOT","IDX2015","A","1983",4.791546,
"AUS","M3","TOT","IDX2015","A","1984",5.442965,
"AUS","M3","TOT","IDX2015","A","1985",6.306853,
"AUS","M3","TOT","IDX2015","A","1986",6.997731,
"AUS","M3","TOT","IDX2015","A","1987",7.73297,
"AUS","M3","TOT","IDX2015","A","1988",8.730177,
"AUS","M3","TOT","IDX2015","A","1989",10.70265,
"AUS","M3","TOT","IDX2015","A","1990",12.12362,
"AUS","M3","TOT","IDX2015","A","1991",12.78041,
"AUS","M3","TOT","IDX2015","A","1992",13.21026,
"AUS","M3","TOT","IDX2015","A","1993",13.93919,
"AUS","M3","TOT","IDX2015","A","1994",15.00644,
"AUS","M3","TOT","IDX2015","A","1995",16.26749,
"AUS","M3","TOT","IDX2015","A","1996",17.76925,
"AUS","M3","TOT","IDX2015","A","1997",19.26308,
"AUS","M3","TOT","IDX2015","A","1998",20.58179,
"AUS","M3","TOT","IDX2015","A","1999",22.50546,
"AUS","M3","TOT","IDX2015","A","2000",24.14382,
"AUS","M3","TOT","IDX2015","A","2001",26.18983,
"AUS","M3","TOT","IDX2015","A","2002",28.56623,
"AUS","M3","TOT","IDX2015","A","2003",31.50111,
"AUS","M3","TOT","IDX2015","A","2004",34.81891,
"AUS","M3","TOT","IDX2015","A","2005",37.73045,
"AUS","M3","TOT","IDX2015","A","2006",41.79469,
"AUS","M3","TOT","IDX2015","A","2007",48.87998,
"AUS","M3","TOT","IDX2015","A","2008",58.56417,
"AUS","M3","TOT","IDX2015","A","2009",65.51404,
"AUS","M3","TOT","IDX2015","A","2010",69.21709,
"AUS","M3","TOT","IDX2015","A","2011",75.90288,
"AUS","M3","TOT","IDX2015","A","2012",81.87002,
"AUS","M3","TOT","IDX2015","A","2013",87.33143,
"AUS","M3","TOT","IDX2015","A","2014",93.63477,
"AUS","M3","TOT","IDX2015","A","2015",100,
"AUS","M3","TOT","IDX2015","A","2016",105.9389,
"AUS","M3","TOT","IDX2015","A","2017",113.1832,
"AUS","M3","TOT","IDX2015","A","2018",116.246,
"CAN","M3","TOT","IDX2015","A","1970",2.052861,
"CAN","M3","TOT","IDX2015","A","1971",2.272402,
"CAN","M3","TOT","IDX2015","A","1972",2.592924,
"CAN","M3","TOT","IDX2015","A","1973",3.005838,
"CAN","M3","TOT","IDX2015","A","1974",3.759211,
"CAN","M3","TOT","IDX2015","A","1975",4.320322,
"CAN","M3","TOT","IDX2015","A","1976",5.132184,
"CAN","M3","TOT","IDX2015","A","1977",6.008695,
"CAN","M3","TOT","IDX2015","A","1978",6.916003,
"CAN","M3","TOT","IDX2015","A","1979",8.255981,
"CAN","M3","TOT","IDX2015","A","1980",9.644023,
"CAN","M3","TOT","IDX2015","A","1981",10.9504,
"CAN","M3","TOT","IDX2015","A","1982",11.42636,
"CAN","M3","TOT","IDX2015","A","1983",11.67038,
"CAN","M3","TOT","IDX2015","A","1984",12.13277,
"CAN","M3","TOT","IDX2015","A","1985",12.96833,
"CAN","M3","TOT","IDX2015","A","1986",14.0354,
"CAN","M3","TOT","IDX2015","A","1987",15.57078,
"CAN","M3","TOT","IDX2015","A","1988",16.96432,
"CAN","M3","TOT","IDX2015","A","1989",19.04299,
"CAN","M3","TOT","IDX2015","A","1990",21.05248,
"CAN","M3","TOT","IDX2015","A","1991",22.39558,
"CAN","M3","TOT","IDX2015","A","1992",23.49524,
"CAN","M3","TOT","IDX2015","A","1993",24.52662,
"CAN","M3","TOT","IDX2015","A","1994",25.49433,
"CAN","M3","TOT","IDX2015","A","1995",26.78508,
"CAN","M3","TOT","IDX2015","A","1996",28.26306,
"CAN","M3","TOT","IDX2015","A","1997",29.59765,
"CAN","M3","TOT","IDX2015","A","1998",30.66748,
"CAN","M3","TOT","IDX2015","A","1999",31.79167,
"CAN","M3","TOT","IDX2015","A","2000",34.21236,
"CAN","M3","TOT","IDX2015","A","2001",36.10246,
"CAN","M3","TOT","IDX2015","A","2002",38.24824,
"CAN","M3","TOT","IDX2015","A","2003",40.52942,
"CAN","M3","TOT","IDX2015","A","2004",44.19387,
"CAN","M3","TOT","IDX2015","A","2005",48.53498,
"CAN","M3","TOT","IDX2015","A","2006",52.15913,
"CAN","M3","TOT","IDX2015","A","2007",57.86856,
"CAN","M3","TOT","IDX2015","A","2008",64.70289,
"CAN","M3","TOT","IDX2015","A","2009",66.78878,
"CAN","M3","TOT","IDX2015","A","2010",70.4216,
"CAN","M3","TOT","IDX2015","A","2011",75.59846,
"CAN","M3","TOT","IDX2015","A","2012",80.67674,
"CAN","M3","TOT","IDX2015","A","2013",85.96001,
"CAN","M3","TOT","IDX2015","A","2014",93.06655,
"CAN","M3","TOT","IDX2015","A","2015",100,
"CAN","M3","TOT","IDX2015","A","2016",108.634,
"CAN","M3","TOT","IDX2015","A","2017",115.395,
"CAN","M3","TOT","IDX2015","A","2018",121.1183,
"CZE","M3","TOT","IDX2015","A","1990",10.4802,
"CZE","M3","TOT","IDX2015","A","1991",14.35787,
"CZE","M3","TOT","IDX2015","A","1992",15.30348,
"CZE","M3","TOT","IDX2015","A","1993",17.7308,
"CZE","M3","TOT","IDX2015","A","1994",21.55649,
"CZE","M3","TOT","IDX2015","A","1995",25.8441,
"CZE","M3","TOT","IDX2015","A","1996",30.22497,
"CZE","M3","TOT","IDX2015","A","1997",32.26726,
"CZE","M3","TOT","IDX2015","A","1998",34.26958,
"CZE","M3","TOT","IDX2015","A","1999",37.31651,
"CZE","M3","TOT","IDX2015","A","2000",39.75081,
"CZE","M3","TOT","IDX2015","A","2001",44.05944,
"CZE","M3","TOT","IDX2015","A","2002",40.28669,
"CZE","M3","TOT","IDX2015","A","2003",42.53726,
"CZE","M3","TOT","IDX2015","A","2004",45.55716,
"CZE","M3","TOT","IDX2015","A","2005",48.41615,
"CZE","M3","TOT","IDX2015","A","2006",54.41107,
"CZE","M3","TOT","IDX2015","A","2007",62.62323,
"CZE","M3","TOT","IDX2015","A","2008",70.9817,
"CZE","M3","TOT","IDX2015","A","2009",77.03479,
"CZE","M3","TOT","IDX2015","A","2010",78.13431,
"CZE","M3","TOT","IDX2015","A","2011",79.69527,
"CZE","M3","TOT","IDX2015","A","2012",84.10152,
"CZE","M3","TOT","IDX2015","A","2013",88.0103,
"CZE","M3","TOT","IDX2015","A","2014",92.7415,
"CZE","M3","TOT","IDX2015","A","2015",100,
"CZE","M3","TOT","IDX2015","A","2016",108.7079,
"CZE","M3","TOT","IDX2015","A","2017",118.9602,
"CZE","M3","TOT","IDX2015","A","2018",125.4018,
"DNK","M3","TOT","IDX2015","A","1971",3.493288,
"DNK","M3","TOT","IDX2015","A","1972",3.843366,
"DNK","M3","TOT","IDX2015","A","1973",4.389228,
"DNK","M3","TOT","IDX2015","A","1974",4.780162,
"DNK","M3","TOT","IDX2015","A","1975",5.577119,
"DNK","M3","TOT","IDX2015","A","1976",6.743409,
"DNK","M3","TOT","IDX2015","A","1977",7.370188,
"DNK","M3","TOT","IDX2015","A","1978",7.862725,
"DNK","M3","TOT","IDX2015","A","1979",8.60967,
"DNK","M3","TOT","IDX2015","A","1980",9.288785,
"DNK","M3","TOT","IDX2015","A","1981",10.40886,
"DNK","M3","TOT","IDX2015","A","1982",11.41242,
"DNK","M3","TOT","IDX2015","A","1983",13.5581,
"DNK","M3","TOT","IDX2015","A","1984",16.55861,
"DNK","M3","TOT","IDX2015","A","1985",19.20595,
"DNK","M3","TOT","IDX2015","A","1986",22.11727,
"DNK","M3","TOT","IDX2015","A","1987",23.19518,
"DNK","M3","TOT","IDX2015","A","1988",24.08935,
"DNK","M3","TOT","IDX2015","A","1989",20.42743,
"DNK","M3","TOT","IDX2015","A","1990",21.50722,
"DNK","M3","TOT","IDX2015","A","1991",23.40102,
"DNK","M3","TOT","IDX2015","A","1992",25.92423,
"DNK","M3","TOT","IDX2015","A","1993",27.38008,
"DNK","M3","TOT","IDX2015","A","1994",29.25844,
"DNK","M3","TOT","IDX2015","A","1995",28.65538,
"DNK","M3","TOT","IDX2015","A","1996",30.75791,
"DNK","M3","TOT","IDX2015","A","1997",33.33378,
"DNK","M3","TOT","IDX2015","A","1998",35.26313,
"DNK","M3","TOT","IDX2015","A","1999",36.60827,
"DNK","M3","TOT","IDX2015","A","2000",36.53126,
"DNK","M3","TOT","IDX2015","A","2001",37.82433,
"DNK","M3","TOT","IDX2015","A","2002",39.11711,
"DNK","M3","TOT","IDX2015","A","2003",46.25934,
"DNK","M3","TOT","IDX2015","A","2004",52.34085,
"DNK","M3","TOT","IDX2015","A","2005",51.46756,
"DNK","M3","TOT","IDX2015","A","2006",58.40349,
"DNK","M3","TOT","IDX2015","A","2007",65.9433,
"DNK","M3","TOT","IDX2015","A","2008",76.29362,
"DNK","M3","TOT","IDX2015","A","2009",81.45058,
"DNK","M3","TOT","IDX2015","A","2010",83.83617,
"DNK","M3","TOT","IDX2015","A","2011",77.67901,
"DNK","M3","TOT","IDX2015","A","2012",87.56701,
"DNK","M3","TOT","IDX2015","A","2013",77.41481,
"DNK","M3","TOT","IDX2015","A","2014",85.00915,
"DNK","M3","TOT","IDX2015","A","2015",100,
"DNK","M3","TOT","IDX2015","A","2016",100.4333,
"DNK","M3","TOT","IDX2015","A","2017",101.2909,
"DNK","M3","TOT","IDX2015","A","2018",101.0838,
"HUN","M3","TOT","IDX2015","A","1990",4.427804,
"HUN","M3","TOT","IDX2015","A","1991",5.979108,
"HUN","M3","TOT","IDX2015","A","1992",8.184478,
"HUN","M3","TOT","IDX2015","A","1993",9.807423,
"HUN","M3","TOT","IDX2015","A","1994",11.21777,
"HUN","M3","TOT","IDX2015","A","1995",12.89383,
"HUN","M3","TOT","IDX2015","A","1996",15.84733,
"HUN","M3","TOT","IDX2015","A","1997",18.80531,
"HUN","M3","TOT","IDX2015","A","1998",22.22694,
"HUN","M3","TOT","IDX2015","A","1999",25.37411,
"HUN","M3","TOT","IDX2015","A","2000",29.86855,
"HUN","M3","TOT","IDX2015","A","2001",34.7392,
"HUN","M3","TOT","IDX2015","A","2002",38.23202,
"HUN","M3","TOT","IDX2015","A","2003",43.67225,
"HUN","M3","TOT","IDX2015","A","2004",48.80287,
"HUN","M3","TOT","IDX2015","A","2005",55.53619,
"HUN","M3","TOT","IDX2015","A","2006",64.50732,
"HUN","M3","TOT","IDX2015","A","2007",70.79981,
"HUN","M3","TOT","IDX2015","A","2008",77.94338,
"HUN","M3","TOT","IDX2015","A","2009",84.84319,
"HUN","M3","TOT","IDX2015","A","2010",87.23352,
"HUN","M3","TOT","IDX2015","A","2011",89.29663,
"HUN","M3","TOT","IDX2015","A","2012",88.44041,
"HUN","M3","TOT","IDX2015","A","2013",91.75166,
"HUN","M3","TOT","IDX2015","A","2014",95.52676,
"HUN","M3","TOT","IDX2015","A","2015",100,
"HUN","M3","TOT","IDX2015","A","2016",104.5645,
"HUN","M3","TOT","IDX2015","A","2017",114.5923,
"HUN","M3","TOT","IDX2015","A","2018",130.3673,
"ISL","M3","TOT","IDX2015","A","1961",0.002333692,
"ISL","M3","TOT","IDX2015","A","1962",0.00296332,
"ISL","M3","TOT","IDX2015","A","1963",0.003572257,
"ISL","M3","TOT","IDX2015","A","1964",0.004139266,
"ISL","M3","TOT","IDX2015","A","1965",0.004915094,
"ISL","M3","TOT","IDX2015","A","1966",0.005876866,
"ISL","M3","TOT","IDX2015","A","1967",0.006367922,
"ISL","M3","TOT","IDX2015","A","1968",0.0067538,
"ISL","M3","TOT","IDX2015","A","1969",0.007832129,
"ISL","M3","TOT","IDX2015","A","1970",0.009839484,
"ISL","M3","TOT","IDX2015","A","1971",0.01206925,
"ISL","M3","TOT","IDX2015","A","1972",0.01427377,
"ISL","M3","TOT","IDX2015","A","1973",0.01794137,
"ISL","M3","TOT","IDX2015","A","1974",0.02292226,
"ISL","M3","TOT","IDX2015","A","1975",0.02935178,
"ISL","M3","TOT","IDX2015","A","1976",0.03879168,
"ISL","M3","TOT","IDX2015","A","1977",0.05327739,
"ISL","M3","TOT","IDX2015","A","1978",0.07699662,
"ISL","M3","TOT","IDX2015","A","1979",0.119908,
"ISL","M3","TOT","IDX2015","A","1980",0.1913062,
"ISL","M3","TOT","IDX2015","A","1981",0.3329436,
"ISL","M3","TOT","IDX2015","A","1982",0.5222328,
"ISL","M3","TOT","IDX2015","A","1983",0.9142283,
"ISL","M3","TOT","IDX2015","A","1984",1.336519,
"ISL","M3","TOT","IDX2015","A","1985",1.918661,
"ISL","M3","TOT","IDX2015","A","1986",2.695691,
"ISL","M3","TOT","IDX2015","A","1987",3.654595,
"ISL","M3","TOT","IDX2015","A","1988",4.690701,
"ISL","M3","TOT","IDX2015","A","1989",5.825737,
"ISL","M3","TOT","IDX2015","A","1990",7.159019,
"ISL","M3","TOT","IDX2015","A","1991",8.032939,
"ISL","M3","TOT","IDX2015","A","1992",8.700785,
"ISL","M3","TOT","IDX2015","A","1993",9.031529,
"ISL","M3","TOT","IDX2015","A","1994",9.480576,
"ISL","M3","TOT","IDX2015","A","1995",9.668648,
"ISL","M3","TOT","IDX2015","A","1996",10.17552,
"ISL","M3","TOT","IDX2015","A","1997",10.93218,
"ISL","M3","TOT","IDX2015","A","1998",12.42791,
"ISL","M3","TOT","IDX2015","A","1999",14.54384,
"ISL","M3","TOT","IDX2015","A","2000",16.47165,
"ISL","M3","TOT","IDX2015","A","2001",18.66933,
"ISL","M3","TOT","IDX2015","A","2002",21.31321,
